aX,aY,aZ,gX,gY,gZ
-4,4,-0.03,-217.35,182.86,-943.73
-4,4,0.01,-15.44,-46.94,-1414.79
-4,4,0.73,48.58,73,-1560.3
-4,1.35,1,-441.35,-73.79,-1215.82
-4,-1.55,1.34,101.5,-93.38,-770.45
-4,-1.81,0.1,42.18,-36.99,-211.36
-2.22,-0.88,0.64,-4.64,-46.69,-29.54
-1.61,-0.86,0.37,-33.14,26.67,52.12
-1.1,-0.35,0.78,18.07,-63.17,179.81
-1.38,-0.35,1.09,28.63,-55.24,267.64
-4,4,-0.92,261.05,238.71,-298.77
-4,4,-1.33,45.65,284.73,-707.46
-4,4,-2.62,328.86,234.56,-1192.26
-4,4,-1.46,176.51,162.6,-1636.84
-4,4,-3.09,107.42,110.84,-1269.17
-4,-0.24,-0.04,-33.63,-10.31,-906.68
-4,-1.16,-0.06,24.23,23.01,-435.55
-4,-1.9,0.79,3.85,41.38,-62.56
-2.68,-0.89,0.8,-28.87,78.8,106.81
-1.75,-0.41,0.79,-57.8,85.08,208.92
-2.86,4,-0.91,114.38,166.5,-138.79
-4,4,-2.86,414.79,218.02,-232.36
-4,4,-4,150.02,231.63,-908.51
-4,4,-4,455.38,-29.24,-1472.05
-4,4,-4,412.6,-32.96,-1448.12
-4,3.35,-1.76,-107.54,46.2,-1349
-4,-1.59,1.19,-132.57,-108.4,-357.3
-4,-1.33,0.77,63.96,-16.85,-254.15
-2.83,-0.78,0.36,61.1,12.88,-8.67
-1.82,-0.08,0.77,-9.95,7.26,113.28
-2.73,4,0.59,196.78,92.53,-40.47
-4,4,0.23,118.23,179.44,-258.91
-4,4,-1.81,178.71,310.61,-704.96
-4,4,-3.49,287.9,71.78,-1377.32
-4,4,-3.53,241.94,118.41,-1517.21
-4,2.58,-2.8,-4.03,-26.12,-1244.63
-4,-0.56,0.73,50.11,-51.27,-383.18
-4,-1.44,0.67,-24.9,2.5,-309.39
-3.05,-1.51,0.64,52.49,-13.06,-49.8
-1.93,-0.4,0.7,72.75,74.77,147.64
-2.74,4,-0.52,131.59,30.27,-119.2
-4,4,-1.97,147.22,104.37,-372.99
-4,4,-4,456.85,110.35,-879.7
-4,4,-4,525.39,29.72,-1469.18
-4,4,-4,145.02,-141.42,-1448.43
-4,3.13,-2.26,18.98,-203.74,-1249.08
-4,-0.41,0.78,31.43,-92.04,-328.12
-4,-0.97,0.7,25.94,30.27,-195.43
-2.67,-0.67,0.83,20.94,79.1,-15.2
-1.87,-0.18,0.82,9.22,95.46,131.47
-3.45,3.56,-0.3,136.23,188.84,-263.24
-4,4,-1.07,119.32,115.23,-522.09
-4,4,-1.64,179.75,88.62,-1148.86
-4,4,-2.88,302.06,114.99,-1530.46
-4,4,-1.11,-171.57,120.42,-1315.92
-4,0.48,0.45,-425.84,-187.13,-866.58
-4,0.24,1.83,-27.4,-231.32,-362.85
-3.41,-0.45,1.18,-21.48,-77.64,-222.23
-2.48,-0.67,1.15,13.85,5.19,-13.43
-1.72,-0.13,1.06,31.25,64.58,108.46
-3.45,3.55,-0.4,303.59,229.8,-114.32
-4,4,-1.8,259.7,260.25,-342.9
-4,4,-2.15,2.75,179.38,-783.75
-4,4,-2.91,324.52,110.72,-1297.97
-4,0.97,-3.07,60,104.06,-1414.25
-4,-2.24,1.25,-277.71,-226.68,-588.38
-3.99,-2.55,0.22,156.62,-98.02,-333.44
-2.68,-2.1,0.4,19.29,-45.35,-129.27
-1.34,-1.09,0.94,-56.46,5.07,38.09
-0.91,-0.62,1.74,-57.86,13.61,59.27
-2.67,4,-0.68,-4.09,33.2,-222.35
-4,4,-2.72,198.06,163.15,-613.28
-4,4,-4,496.77,68.42,-1190.19
-4,4,-2.74,167.79,87.59,-1460.02
-4,2.82,-1.94,-330.99,-26.55,-1078.19
-4,1.3,1.26,-247.92,-160.58,-784.42
-4,-0.15,2.55,-145.63,-113.46,-275.39
-2.96,-0.78,1.43,62.56,86.55,-25.94
-2.1,-0.63,1.06,173.77,16.17,39
-1.56,-0.53,0.71,161.93,45.53,181.7
-2.82,3.97,0.76,28.87,42.11,-146.67
-4,4,0.84,-62.32,7.51,-379.82
-4,4,0.2,4.21,57.31,-884.22
-4,4,-0.55,139.04,-59.69,-1351.87
-4,4,-1.24,150.88,-11.41,-1555.42
-4,4,-2.69,48.77,-122.07,-1413.82
-4,0.35,-0.55,-48.52,-177.43,-922.49
-4,-0.62,-0.69,132.32,-127.26,-380.68
-3.32,-0.23,0.35,-10.86,-15.63,-79.65
-2.6,-0.1,0.41,-23.38,66.35,2.62
-3.36,4,-0.72,131.1,151.18,-257.39
-4,4,-0.82,-169.8,25.27,-531.56
-4,4,-0.35,-161.19,-480.35,-845.34
-4,4,1.99,17.09,-489.26,-1343.81
-4,3.89,0.39,-49.99,-276.79,-1312.62
-4,0.06,2.08,-426.21,-372.74,-1025.27
-4,-2.54,2.44,92.71,-208.74,-552.92
-3.97,-2.69,1.34,63.48,-130.37,-182.31
-2.25,-1.38,1.33,-15.75,12.51,51.82
-1.47,-0.5,1.15,6.41,83.37,138.06
-3.03,3.72,0.48,123.41,90.15,-215.52
-4,4,0.01,14.47,58.59,-423.22
-4,4,-1.01,-18.49,61.4,-1022.4
-4,4,-1.82,287.78,-83.31,-1575.99
-4,4,-1.76,80.44,94.54,-1497.62
-4,0.49,-0.33,-354.98,-109.62,-1127.93
-4,-2.24,1.83,11.47,-220.83,-505.86
-3.49,-1.15,0.42,51.33,-17.27,-93.38
-1.97,-0.33,0.66,-3.91,44.74,91.8
-1.18,-0.15,1.15,-1.22,58.23,149.78
-3.65,3.83,0.45,-77.58,111.94,-233.09
-4,4,-0.99,107.42,222.9,-459.78
-4,4,-3.33,322.39,251.65,-959.84
-4,4,-3.87,65.61,45.96,-1389.1
-4,4,-3.93,358.95,-1.59,-1464.17
-4,3.52,-1.44,-303.34,-23.86,-1371.4
-4,-2.03,1.74,-76.72,-343.38,-475.71
-4,-1.4,1.36,48.71,-73.36,-176.09
-2.88,-0.76,1.01,-22.58,75.38,93.57
-1.99,0.33,1.01,-2.87,79.65,259.52
-3.09,4,-0.59,284.79,165.53,-156.07
-4,4,-0.32,-46.45,162.05,-503.48
-4,4,-1.31,-44.13,123.72,-1084.23
-4,4,-1.66,72.08,-16.85,-1541.87
-4,2.3,-0.71,-267.94,-62.93,-1526.49
-4,-1.35,3.05,-350.59,-237.37,-630.19
-4,-1.65,1.74,10.62,-55.11,-225.95
-2.27,-0.91,0.97,50.54,-22.16,-25.27
-1.11,-0.16,0.88,31.07,33.75,65.37
-0.85,-0.14,0.88,-18.37,90.33,98.02
-2.63,4,-0.77,168.76,78.67,-244.75
-4,4,-1.31,258.18,115.05,-657.78
-4,4,-1.41,274.05,109.19,-1392.64
-4,4,-1.44,-127.87,130.8,-1397.22
-4,4,0.36,-282.96,-86.06,-1165.04
-4,0.72,2.36,-152.59,-157.78,-717.9
-4,0.23,1.49,8.36,-68.48,-230.9
-3.04,-0.82,1.49,-0.31,-11.17,-124.33
-2.27,-0.65,1,-75.01,198.55,103.52
-1.66,-0.37,0.74,-8.36,87.4,212.28
-2.98,4,0.46,21.18,111.33,-148.8
-4,4,-1.91,307.07,379.76,-445.31
-4,4,-2.62,179.87,103.76,-1006.59
-4,4,-2.23,198.18,93.93,-1468.02
-4,4,-2.03,243.16,149.54,-1508.67
-4,0.94,0.94,-685.79,31.68,-729.37
-4,-0.68,2.01,233.52,-213.38,-419.98
-3.77,-1.17,0.12,229.43,3.11,-261.96
-2.52,-0.88,0.33,-49.5,-0.79,-6.84
-1.82,-0.66,0.8,-96.37,-47.42,127.81
-2.68,4,-0.78,181.34,161.32,-84.53
-4,4,-2.6,281.13,193.12,-296.26
-4,4,-3.42,278.44,214.6,-1086.06
-4,4,-3.41,367.25,-26.43,-1551.7
-4,4,-2.73,-46.02,62.62,-1352.11
-4,1.63,-0.83,-173.46,-47,-1177
-4,-0.09,1.96,-131.59,-201.66,-209.23
-3.54,-1,1.04,106.63,-119.69,-173.95
-2.54,-0.98,0.92,-49.5,85.08,14.95
-1.95,-0.23,0.83,28.32,41.02,186.46
-2.94,4,-0.67,269.71,197.81,-162.48
-4,4,-1.09,202.27,243.16,-532.53
-4,4,-2.3,402.65,217.71,-1302
-4,4,-1.48,160.16,135.86,-1557.01
-4,4,-0.72,-210.14,278.02,-1473.14
-4,-0.34,2.22,-337.95,-146.73,-347.35
-3.37,0.39,1.52,64.64,-138.98,-188.05
-3.03,-0.6,1,67.93,37.23,-160.46
-1.93,-0.48,0.58,-12.21,127.26,93.02
-1.3,0.1,0.66,23.56,35.83,215.15
-3.73,4,-1.61,178.96,162.66,-209.23
-4,4,-2.5,219.36,143.74,-890.14
-4,4,-3.89,436.4,121.15,-1372.44
-4,4,-3.41,132.75,36.5,-1348.14
-4,2.91,-1.5,-286.07,46.51,-1273.62
-4,-0.43,2.19,-461,-316.28,-236.02
-3.43,-0.48,1.49,184.88,-184.33,-198.49
-2.72,-0.99,0.91,28.44,62.07,-110.53
-2.09,-0.62,0.72,34.91,14.83,88.13
-1.52,-0.17,0.61,13.79,42.85,198.67
-2.47,3.98,0.86,192.44,130.8,21.3
-4,4,1.3,91.92,157.96,-174.32
-4,4,0.45,48.58,315.67,-575.2
-4,4,-0.86,-43.88,264.04,-1181.27
-4,4,-0.84,152.47,183.17,-1640.87
-4,4,-0.39,42.72,248.54,-1469.06
-4,-0.65,1.96,-420.59,-33.45,-745.97
-4,-0.91,1.78,112.79,-56.76,-225.83
-3.2,-1.01,0.43,65.25,124.27,-83.98
-2.03,-0.51,0.35,34.48,96.92,90.76
-2.8,3.85,1.07,115.72,100.4,-107.85
-4,4,0.72,19.47,181.64,-330.32
-4,4,0.02,-277.95,100.77,-920.35
-4,4,0.7,161.8,-91.37,-1493.59
-4,4,-0.65,-139.59,3.91,-1465.76
-4,0.43,0.61,-395.26,-337.65,-1226.68
-4,-1.54,0.65,145.87,-156.8,-465.45
-4,-1.83,0.96,-58.11,-42.79,-178.1
-2.39,-0.71,1.02,-48.58,67.87,48.28
-1.44,0.11,0.95,15.81,84.96,102.91
-3.15,4,0.35,66.65,111.15,-149.66
-4,4,-1.36,115.66,295.17,-406.86
-4,4,-4,229.37,171.39,-987.49
-4,4,-4,297.73,-116.82,-1402.4
-4,4,-3.39,131.29,20.14,-1445.01
-4,2.72,-1.7,-141.05,-121.46,-1289.12
-4,-2.15,1.88,-575.74,-271.91,-381.35
-3.92,-0.74,0.58,197.2,-207.89,-149.72
-2.35,-0.16,0.89,-48.77,-0.55,32.04
-1.63,0.2,1.23,-53.34,31.31,138.12
-2.85,3.62,0.75,62.38,88.13,-110.11
-4,4,0.5,72.51,191.22,-328.25
-4,4,-1.98,-12.39,240.42,-993.71
-4,4,-3.52,213.93,33.39,-1417.79
-4,4,-1.4,-71.29,40.89,-1598.02
-4,3.5,1.19,-231.26,-67.99,-1435.61
-4,-0.4,1.13,35.4,-221.13,-513.79
-4,-0.38,1.59,-35.22,25.94,-284.55
-2.75,-0.56,1.18,-2.08,62.26,-75.38
-1.86,-0.14,1.6,40.1,24.48,80.26
-2.76,3.92,0.51,75.32,157.53,-151.73
-4,4,-0.14,101.5,216.37,-406.31
-4,4,-0.99,-166.99,99.18,-1060.67
-4,4,-2.24,248.96,-7.69,-1659.24
-4,4,-0.44,264.1,104.37,-1706.18
-4,4,0.83,-558.96,154.54,-1268.8
-4,1.32,1.85,136.96,-195.13,-644.1
-4,-0.64,1.23,-98.02,91.37,-262.63
-2.63,-0.02,1.53,-1.22,79.16,-55.18
-1.98,-0.45,1.21,68.12,105.22,16.72
-3.64,3.47,-0.81,141.3,94.54,-28.26
-3.83,4,-1.02,65.55,145.02,-291.99
-4,4,-1.04,153.08,247.19,-701.9
-4,4,-2.94,234.07,190.49,-977.11
-4,4,-1.23,-5.86,-51.94,-1428.71
-4,4,-1.89,-23.01,-172.91,-1448.49
-4,3.1,-0.19,-168.03,-209.96,-1236.27
-4,-2.16,1.3,92.77,-157.9,-765.81
-4,-0.48,-0.12,71.84,65,-224.43
-2.96,-0.24,1.39,-66.96,88.38,-56.82
-3.16,3.51,0.58,15.69,147.52,-295.53
-4,4,-0.73,176.94,286.74,-407.35
-4,4,-1.83,62.44,152.89,-788.82
-4,4,-1.3,-35.71,161.68,-1217.35
-4,4,-2.29,6.41,-154.36,-1395.51
-4,4,-0.73,-89.36,-58.84,-1384.58
-4,1.52,0.82,-237.49,-285.22,-992.19
-4,-1.22,2.27,-72.75,-118.16,-492.8
-3.98,-0.25,1.52,92.22,53.1,-224.73
-2.75,-0.64,1.53,-33.45,194.27,-58.11
-3.56,3.94,-0.7,153.75,199.34,-126.77
-4,4,-1.38,238.46,210.94,-360.72
-4,4,-2.55,225.4,314.88,-839.97
-4,4,-4,403.63,416.08,-1261.96
-4,4,-1.8,123.47,280.64,-1583.19
-4,4,-0.62,-102.36,38.27,-1164.55
-4,0.81,1.44,-111.27,-97.9,-936.71
-4,-0.83,0.8,20.2,-49.44,-305.85
-3.29,-0.5,1.53,45.84,40.04,-101.56
-2.79,-1.61,0.64,-27.77,167.48,-38.33
-3.14,4,-1.18,-3.78,166.75,-269.65
-4,4,-3.48,409.55,237.73,-482.79
-4,4,-3.43,120.18,239.01,-1224.91
-4,4,-2.88,180.18,-45.53,-1428.1
-4,4,-1.04,-293.33,9.52,-1270.69
-4,1.35,1.98,-466.13,-282.35,-939.45
-4,0.08,1.59,160.71,-188.23,-366.15
-3.52,-0.28,1.2,-15.93,-10.13,-225.83
-2.55,-0.38,1.27,-35.22,35.16,-31.13
-1.95,-0.3,1.34,23.56,16.91,88.2
-4,4,-0.43,159.91,164.18,-472.29
-4,4,-1.57,162.29,148.19,-745.79
-4,4,-1.55,65.25,6.41,-1241.52
-4,4,-1.81,85.39,53.1,-1408.87
-4,2.38,-0.68,-213.13,-152.53,-1034.36
-4,1.18,1.67,-126.16,-207.64,-764.34
-3.62,-0.56,0.71,53.59,-39.43,-298.89
-2.83,-0.1,0.71,25.15,-7.51,-142.88
-2.23,0.08,0.75,41.75,28.93,-44.49
-2.01,-0.73,0.72,-20.57,62.56,-1.77
-2.7,4,0.51,178.77,142.94,-203.86
-4,4,0.26,28.75,191.65,-502.2
-4,4,-1.19,-67.87,222.41,-1066.53
-4,4,-1.54,196.17,41.56,-1427.73
-4,4,-0.75,-70.8,80.38,-1317.93
-4,1.31,0.85,-342.22,-87.59,-866.03
-4,-0.8,2.43,-74.04,-115.23,-459.17
-3.25,-0.62,1.25,5.92,74.52,-188.29
-2.28,-0.18,0.73,58.72,101.44,-53.28
-1.55,-0.29,0.81,74.65,39.06,66.65
-3.34,4,-0.26,173.16,112.79,-321.29
-4,4,-1.11,95.15,226.07,-571.29
-4,4,-2.67,379.52,108.95,-1100.22
-4,4,-1.84,9.89,75.38,-1291.69
-4,3.92,-1.27,-77.45,142.64,-1194.27
-4,1.14,1.16,-358.4,-169.19,-756.71
-3.67,0.01,2.33,-61.71,-49.5,-288.82
-3.16,-0.25,1.43,83.62,-21.36,-229.61
-2.54,-0.63,0.93,59.2,48.65,-46.81
-1.73,-0.29,0.86,-15.93,64.51,99.24
-3.44,4,0.21,35.1,124.02,-244.81
-4,4,-0.04,4.82,173.1,-567.44
-4,4,-2.64,269.47,200.87,-1187.5
-4,4,-2.34,-48.46,23.62,-1302.61
-4,2.52,-0.86,-219.85,-37.78,-1157.29
-4,0.11,0.62,-153.2,-291.99,-751.53
-3.77,-0.44,1.65,5.74,-142.64,-338.5
-2.82,-0.32,0.93,45.84,45.29,-217.29
-2.26,-0.38,0.6,33.57,89.23,-80.08
-1.64,-0.36,0.78,13.92,80.14,52.25
-4,3.56,-0.35,62.93,88.26,-501.83
-4,4,-1.73,145.63,30.82,-757.2
-4,4,-1.53,176.64,-140.62,-1163.27
-4,2.56,-1.85,-29.97,-23.68,-1252.81
-4,0.37,-0.56,-362,-244.51,-730.04
-4,-1.35,1.73,-157.65,-354.86,-436.46
-2.73,-0.54,1.58,59.88,-212.16,-232.3
-1.93,-0.56,0.98,-9.89,-30.64,-97.41
-1.08,0.13,1.11,30.94,-26.43,-18.49
-0.87,0,1.17,20.75,48.52,-1.83
-2.05,3.88,-1.39,179.75,67.99,-219.18
-3.15,4,-2.17,174.56,28.81,-425.6
-4,4,-3.74,328.61,-23.5,-841.37
-4,4,-3.74,192.57,-186.52,-1074.77
-4,1.95,-2.2,-32.9,-180.18,-1075.87
-4,-0.25,-0.44,-120.85,-300.11,-763.61
-4,-0.64,1.21,-45.41,-292.72,-398.8
-2.85,-0.79,1.1,63.9,-132.75,-199.04
-1.75,-0.26,0.78,47.67,-37.23,-57.01
-1.1,-0.08,0.97,-16.42,34.61,-9.83
-3.29,3.95,-0.45,153.81,94.36,-330.99
-4,4,-1.35,229.68,183.65,-557.07
-4,4,-1.59,235.29,75.87,-1019.65
-4,3.52,-1.43,67.63,79.28,-1163.94
-4,0.7,-1.14,-92.53,-62.38,-962.4
-4,-0.89,0.6,-333.98,-136.47,-693.79
-3.26,-1.26,1.93,-95.89,-145.2,-183.84
-1.79,-0.72,0.79,153.93,-41.2,-74.83
-1.25,-0.51,0.56,61.58,39.49,-14.1
-0.94,-0.23,0.6,27.04,45.96,43.4
-3.13,3.87,-0.79,34.24,75.87,-328.25
-4,4,-2.12,220.64,87.16,-576.54
-4,4,-2.69,259.34,-69.76,-930.85
-4,3.11,-1.97,321.17,-87.52,-1027.77
-4,2.34,-1.14,56.76,68.6,-1034.48
-4,-0.75,-0.7,-405.94,-55.54,-610.23
-3.19,-0.72,1.16,-168.64,-318.66,-300.05
-2.12,-0.74,1.14,25.51,-91.49,-174.99
-1.58,-0.46,0.96,-12.21,-0.61,-80.75
-1.29,-0.3,1.04,13.24,-25.82,1.34
-3.06,4,-0.69,279.97,59.14,-236.94
-4,4,-2.24,238.04,128.17,-540.83
-4,4,-3.58,337.34,15.75,-1021.67
-4,4,-3.25,205.63,-59.75,-1102.11
-4,2.29,-2.28,-8.36,-58.9,-1036.56
-4,0.06,-0.8,-43.03,-192.5,-749.76
-4,-0.59,0.54,-9.77,-120.42,-409.06
-2.65,-0.96,0.8,-87.71,-27.28,-187.68
-1.88,-0.74,0.93,-35.46,-39.18,-86.61
-1.38,-0.4,0.86,18.37,-3.91,31.68
-3.22,4,-0.22,82.4,112.24,-306.58
-4,4,-1.94,243.35,138.67,-510.5
-4,4,-3.28,271.61,13.18,-1011.54
-4,3.57,-2.53,170.1,-32.78,-1107.24
-4,2.07,-1.49,-52.86,12.63,-1058.47
-4,-1.26,-0.22,-295.41,-194.03,-671.87
-3.59,-0.78,1.38,39.79,-214.54,-272.95
-2.88,-1.45,1.32,0.12,-66.1,-196.35
-2.14,-0.98,0.84,29.79,37.78,-3.36
-1.74,-0.56,0.6,64.33,34.12,89.6
-3.39,4,-0.58,283.63,42.36,-433.17
-4,4,-1.57,254.39,200.26,-806.09
-4,4,-1.85,107.3,51.57,-1049.62
-4,2.48,-1.22,39.49,-6.35,-994.45
-4,0.87,-0.62,-32.35,-43.27,-874.57
-4,-0.99,0.75,-264.16,-162.35,-395.14
-2.08,-0.77,1.21,-44.98,-111.39,-167.66
-1.52,-0.49,0.71,65.8,-32.04,-85.94
-1.23,-0.32,0.51,34.55,11.66,-20.75
-1.02,-0.35,0.66,-8.79,25.21,62.93
-2.89,4,-0.78,128.23,149.17,-402.71
-4,4,-2.08,80.38,138.49,-726.5
-4,4,-2.03,14.77,-150.51,-1038.76
-4,2.8,-1.24,20.57,-227.91,-974.24
-4,1.78,-0.63,2.32,-214.36,-822.45
-3.78,0.26,0.47,-205.63,-180.24,-519.17
-2.5,-0.36,1.38,-177.73,-162.96,-240.78
-1.67,-0.42,1.32,-75.13,-106.81,-111.45
-1.24,-0.31,0.96,-21.12,-8.48,-58.23
-1.03,-0.18,0.71,-15.87,67.63,1.22
-3.37,4,-0.38,177.98,157.71,-294.62
-4,4,-1.9,248.84,172.12,-649.05
-4,4,-3.86,437.07,142.09,-1019.41
-4,2.38,-4,137.76,76.05,-1130.98
-4,-0.25,-2.37,162.9,-117.68,-957.7
-4,-1.14,-0.3,138.49,-136.6,-599.73
-3.34,-0.9,0.41,41.02,86.12,-352.84
-2.29,-0.8,0.45,14.28,64.15,-232.36
-1.62,-0.58,0.68,12.21,15.32,-82.7
-1.09,-0.32,0.93,-34.85,38.51,-3.78
-2.9,4,-0.94,16.72,109.99,-336.91
-4,4,-3.01,99.12,114.69,-634.83
-4,4,-2.73,266.24,-110.53,-949.4
-4,3.81,-1.43,144.47,-94.36,-1152.59
-4,1.5,-1.14,-57.43,-105.96,-994.93
-4,-0.53,0.74,-298.22,-180.91,-580.26
-3.37,-0.72,1.79,-96.13,-174.93,-291.69
-2.04,-0.84,1.33,54.02,-90.09,-168.09
-1.47,-0.57,0.87,83.8,-23.13,-64.88
-1.13,-0.43,0.85,32.65,6.77,10.99
-2.43,4,-1.12,127.81,103.52,-202.15
-4,4,-3.57,182.8,146.79,-591.86
-4,4,-4,142.64,-103.39,-990.66
-4,3.96,-3.28,21.85,-387.63,-1091.25
-4,1.18,-1.75,95.34,-459.11,-981.57
-4,-1.88,0.46,-88.62,-374.21,-640.75
-3.99,-1.71,1.36,31.68,-166.75,-299.68
-2.35,-1.08,0.9,68.97,-84.72,-137.94
-1.33,-0.11,0.85,16.48,5.55,-44.31
-0.9,-0.05,0.79,-19.35,80.75,-51.64
-2.4,4,-0.81,403.99,116.7,-174.56
-4,4,-2.64,172.3,157.96,-583.44
-4,4,-3.32,319.15,-59.88,-1124.21
-4,4,-2.77,205.44,0.43,-1205.51
-4,1.6,-1.43,-227.78,-7.39,-1092.53
-4,-0.89,1.48,-153.93,-262.7,-522.52
-3.01,-0.63,1.02,112.61,-100.95,-305.05
-2.04,-0.77,0.66,-18.25,45.41,-171.63
-1.27,-0.26,0.83,-37.11,36.01,-24.23
-0.77,-0.06,0.96,-42.85,77.7,-8.48
-1.15,4,-2.08,7.87,69.27,-124.76
-2.03,4,-1.8,166.63,77.58,-286.93
-4,4,-3.66,189.15,184.94,-752.81
-4,4,-4,322.27,-385.31,-1023.68
-4,4,-1.44,85.45,-234.44,-1153.2
-4,2.51,-0.93,98.69,-253.17,-1118.59
-4,-0.19,0.33,-152.53,-157.84,-547.67
-3.92,-0.94,1.24,-112.37,-10.19,-334.05
-2.73,-1.1,0.69,38.7,-28.75,-131.23
-1.73,-0.62,0.55,81.36,-33.94,18.07
-3.02,4,-0.48,186.95,35.34,-348.82
-4,4,-2.65,381.84,141.42,-558.11
-4,4,-3.49,369.57,71.17,-1065.06
-4,4,-2.86,188.96,-33.33,-1330.26
-4,2.27,-2.64,-86.12,68.18,-1177.98
-4,0.13,1.61,-431.27,-141.85,-605.35
-4,-0.92,2.94,18.19,-125,-258
-2.95,-0.87,1.28,193.05,126.59,-116.39
-2.13,-0.58,0.12,140.99,143.86,24.78
-1.3,0.05,-0.04,68.18,36.19,132.32
-4,4,-4,429.14,-3.11,-849.67
-4,4,-4,480.04,-156.25,-1234.07
-4,4,-2.52,94.79,60.55,-1278.81
-4,0.9,-0.83,-270.87,10.74,-864.69
-4,0.18,1.21,-364.87,-195.92,-357.79
-2.48,-0.93,1.28,-35.22,-72.33,-102.23
-1.98,-0.35,0.7,72.75,-18.86,-2.99
-1.65,-0.06,0.66,78.31,-63.42,43.46
-1.25,-0.22,0.8,59.75,-14.1,78.49
-1.37,-0.57,0.76,39.61,94.67,75.44
-2.49,4,-1.23,147.34,-41.87,-326.48
-4,4,-3.76,401,36.62,-613.83
-4,4,-3.25,402.16,-52.31,-1112.92
-4,4,-2.72,66.65,-5.8,-1156.19
-4,1.06,-2.07,-100.4,-118.65,-991.09
-4,-0.21,0.33,-331.6,-222.96,-558.41
-2.83,-0.64,1.16,-1.77,-207.03,-208.44
-2.05,-0.51,1.31,76.48,-90.64,-114.69
-1.7,-0.48,0.7,7.63,39.25,-46.51
-1.34,-0.35,0.61,9.28,10.86,28.38
-2.76,4,-0.64,162.54,39.98,-362.55
-4,4,-1.3,215.27,64.45,-593.69
-4,4,-1.37,125,-7.57,-946.66
